Time Detect LP,Time Detect Face,Total
0.085,2.387,2.472
0.089,2.331,2.42
0.355,2.374,2.729
0.445,2.391,2.836
0.267,2.408,2.675
0.095,2.393,2.489
0.184,2.402,2.586
0.879,2.369,3.248
0.446,2.412,2.858
0.083,2.359,2.443
0.091,2.384,2.475
0.256,2.363,2.618
0.259,2.385,2.644
0.085,2.367,2.451
0.083,2.352,2.435
0.082,2.417,2.5
0.083,2.388,2.471
0.085,2.378,2.464
0.172,2.343,2.514
0.25,2.446,2.696
0.171,2.414,2.586
0.088,2.446,2.533
0.092,2.488,2.58
0.093,2.439,2.532
0.088,2.445,2.533
0.088,2.426,2.514
0.088,2.453,2.541
0.088,2.466,2.553
0.086,2.444,2.531
0.092,2.433,2.525
0.086,2.422,2.509
0.088,2.481,2.569
0.088,2.441,2.529
0.093,2.435,2.528
0.087,2.474,2.562
0.088,2.434,2.521
0.174,2.416,2.59
0.076,2.54,2.617
0.144,2.531,2.675
0.081,2.495,2.576
0.077,2.54,2.617
0.217,2.519,2.736
0.079,2.548,2.628
0.081,2.558,2.64
0.142,2.53,2.673
0.213,2.527,2.74
0.078,2.493,2.571
0.08,2.546,2.626
0.147,2.546,2.693
0.08,2.503,2.583
0.078,2.524,2.602
0.214,2.546,2.76
0.211,2.553,2.764
0.079,2.511,2.59
0.29,2.546,2.837
0.082,2.49,2.572
0.155,2.518,2.672
0.226,2.505,2.731
0.282,2.509,2.791
0.159,2.549,2.709
0.085,2.527,2.611
0.082,2.509,2.591
0.156,2.565,2.72
0.08,2.543,2.623
0.081,2.545,2.626
0.218,2.569,2.787
0.083,2.574,2.657
0.232,2.536,2.769
0.246,2.597,2.843
0.087,2.612,2.699
0.161,2.534,2.695
0.081,2.571,2.652
0.08,2.573,2.653
0.23,2.503,2.733
0.157,2.575,2.732
0.15,2.591,2.741
0.162,2.54,2.702
0.082,2.54,2.622
0.089,2.543,2.632
0.164,2.539,2.704
0.153,2.586,2.739
0.157,2.61,2.767
0.365,2.636,3.002
0.231,2.546,2.778
0.089,2.575,2.665
0.088,2.509,2.596
0.084,2.515,2.6
0.086,2.528,2.614
0.219,2.559,2.778
0.09,2.532,2.622
0.155,2.521,2.677
0.157,2.571,2.728
0.081,2.535,2.616
0.151,2.505,2.656
0.165,2.564,2.729
0.083,2.871,2.954
0.157,2.543,2.699
0.088,2.52,2.608
0.153,2.565,2.718
0.079,2.496,2.575
0.162,2.538,2.699
0.083,2.771,2.854
0.157,2.527,2.684
0.228,2.65,2.878
0.161,2.643,2.804
0.084,2.551,2.636
0.086,2.667,2.753
0.081,2.532,2.612
0.082,2.54,2.623
0.083,2.522,2.605
0.088,2.601,2.69
0.085,2.562,2.647
0.239,2.532,2.771
0.083,2.54,2.623
0.086,2.562,2.648
0.164,2.554,2.718
0.154,2.564,2.718
0.083,2.596,2.679
0.089,2.593,2.682
0.088,2.572,2.66
0.162,2.527,2.689
0.083,2.517,2.6
0.155,2.507,2.662
0.082,2.532,2.614
0.082,2.577,2.659
0.371,2.516,2.887
0.083,2.518,2.601
0.167,2.563,2.729
0.084,2.567,2.651
0.086,2.573,2.659
0.084,2.568,2.651
0.086,2.526,2.612
0.086,2.518,2.605
0.155,2.592,2.748
0.088,2.56,2.648
0.241,2.583,2.824
0.159,2.583,2.742
0.085,2.682,2.767
0.094,2.655,2.749
0.083,2.575,2.658
0.093,2.584,2.677
0.611,2.588,3.199
0.087,2.569,2.656
0.303,2.589,2.892
0.301,2.513,2.814
0.156,2.547,2.702
0.39,2.588,2.978
0.084,2.598,2.682
0.458,2.639,3.097
0.083,2.63,2.713
0.089,2.617,2.706
0.159,2.592,2.751
